iters;threads;time;
400000000;1;76.0932;
400000000;2;39.8511;
400000000;3;27.1107;
400000000;4;23.1031;
400000000;5;19.355;
400000000;6;15.665;
400000000;7;13.1674;
400000000;8;11.5612;
400000000;9;9.97868;
400000000;10;8.52717;
400000000;11;7.85602;
400000000;12;7.69726;
400000000;13;7.30883;
400000000;14;7.18792;
400000000;15;7.06424;
400000000;16;6.91224;
400000000;17;6.96555;
400000000;18;6.82943;
400000000;19;6.70946;
400000000;20;6.50627;
400000000;21;6.50771;
400000000;22;6.3592;
400000000;23;6.24322;
400000000;24;6.11433;
400000000;25;6.48913;
400000000;26;6.11706;
400000000;27;6.51165;
400000000;28;6.27165;
400000000;29;6.35457;
400000000;30;5.99331;
400000000;31;6.06455;
400000000;32;6.13798;
400000000;33;5.96646;
400000000;34;5.99668;
400000000;35;6.32226;
400000000;36;6.13468;
400000000;37;6.0572;
400000000;38;5.98599;
400000000;39;6.01983;
400000000;40;5.93039;
400000000;41;6.31999;
400000000;42;6.00229;
400000000;43;5.94509;
400000000;44;6.04039;
400000000;45;6.16148;
400000000;46;6.29823;
400000000;47;6.05077;
400000000;48;5.93952;
400000000;49;6.06585;
400000000;50;6.21701;
400000000;51;6.01359;
400000000;52;5.95057;
400000000;53;5.88842;
400000000;54;6.13572;
400000000;55;6.08574;
400000000;56;5.93732;
400000000;57;6.085;
400000000;58;6.09208;
400000000;59;6.12457;
400000000;60;6.05083;
400000000;61;6.11191;
400000000;62;5.88382;
400000000;63;6.07561;
400000000;64;6.2075;
400000000;65;5.85879;
400000000;66;6.07365;
400000000;67;6.08592;
400000000;68;6.22731;
400000000;69;6.14418;
400000000;70;6.04635;
400000000;71;6.28214;
400000000;72;4.20627;
400000000;73;5.81598;
400000000;74;6.14542;
400000000;75;5.9241;
400000000;76;6.16526;
400000000;77;6.28614;
400000000;78;6.20113;
400000000;79;6.01635;
400000000;80;6.27354;

